,timestamp,we,es,se,ew
1530,4.25,2.204161713,11.58063319,27.50337847,122.072667
1531,4.252778,2.215840114,11.55154957,27.31590072,122.2042585
1532,4.255556,2.227497102,11.52248639,27.12841429,122.3359824
1533,4.258333,2.239128557,11.49345404,26.94099193,122.4677858
1534,4.261111,2.248023515,11.46161365,26.81941349,122.4626069
1535,4.263889,2.247338722,11.43786943,26.71148745,122.5460006
1536,4.266667,2.246655496,11.41412689,26.60353028,122.6294368
1537,4.269444,2.250491284,11.39021999,26.54859816,122.8015023
1538,4.272222,2.254331714,11.36630725,26.49359279,122.9739892
1539,4.275,2.258175402,11.34239729,26.43853407,123.1468362
1540,4.277778,2.263836787,11.30165318,26.14764184,123.0347219
1541,4.280556,2.260460667,11.27648224,26.04304301,123.1289096
1542,4.283333,2.257076995,11.25132383,25.93844448,123.2231002
1543,4.286111,2.256712731,11.22703924,25.864721,123.2993615
1544,4.288889,2.128744778,11.64478979,25.53597004,123.3370648
1545,4.291667,2.001955248,12.06479229,25.20377081,123.3748082
1546,4.294444,1.969974413,12.0236549,25.07530516,123.4676501
1547,4.297222,1.938037165,11.98252118,24.94675802,123.5606664
1548,4.3,1.906154947,11.94140593,24.81817823,123.6538209
1549,4.302778,1.915238511,11.84806946,24.87213094,123.6543002
1550,4.305556,1.909243775,11.82139877,24.67799005,123.7436191
1551,4.308333,1.903255206,11.79474149,24.48364798,123.8333801
1552,4.311111,1.921990457,11.74704308,24.82722003,123.7609994
1553,4.313889,1.913291285,11.73188076,24.56343646,123.8859324
1554,4.316667,1.912674885,11.70200366,24.4638995,123.9452755
1555,4.319444,1.912059904,11.67214108,24.36433084,124.0046849
1556,4.322222,1.911445898,11.64227151,24.26465977,124.0642026
1557,4.325,1.907871805,11.61527279,24.246764,124.1288164
1558,4.327778,1.904298134,11.5882726,24.22884301,124.1935266
1559,4.330556,1.900724885,11.56127094,24.21089679,124.2583335
1560,4.333333,1.891805897,11.55235626,23.94566551,124.3845919
1561,4.336111,1.877676046,11.53012571,23.82954114,124.4399853
1562,4.338889,1.863540485,11.50788719,23.71342402,124.4954128
1563,4.341667,2.162651089,10.53941599,24.29235371,124.5357474
1564,4.344444,2.142670574,10.53479804,24.31547514,124.5275113
1565,4.347222,2.122678254,10.53017823,24.33861349,124.5192764
1566,4.35,2.115820296,10.50560095,24.29303137,124.4710772
1567,4.352778,2.09982602,10.49144549,24.2295677,124.4982897
1568,4.355556,2.083828045,10.47728937,24.16610975,124.5254973
1569,4.358333,2.051045139,10.43622902,24.06344146,124.577441
1570,4.361111,2.035842186,10.41901074,23.90417798,124.6410999
1571,4.363889,2.020636786,10.40179353,23.74499793,124.7049273
1572,4.366667,2.016095092,10.38514607,23.6616233,124.7294613
1573,4.369444,2.017642598,10.35911874,23.60564545,124.7555337
1574,4.372222,2.019190871,10.333083,23.54961787,124.7815925
1575,4.375,1.931939001,10.62013218,23.19770653,124.8274356
1576,4.377778,1.845310459,10.90833565,22.84400238,124.8734634
1577,4.380556,1.759298651,11.19771813,22.48848932,124.9196742
1578,4.383333,1.763913869,11.18742763,22.42397161,124.9537675
1579,4.386111,1.78153302,11.11432187,22.45162928,124.9641856
1580,4.388889,1.799157966,11.04127318,22.47921271,124.9745996
1581,4.391667,1.818261629,10.99672152,22.62931402,124.9621466
1582,4.394444,1.825125255,10.95471945,22.51165514,125.0240335
1583,4.397222,1.831987688,10.91271779,22.39391157,125.0861445
1584,4.4,1.852414253,10.86563426,22.43317161,125.1098154
1585,4.402778,1.872844237,10.81855632,22.47242534,125.1335353
1586,4.405556,1.893277639,10.77148398,22.51167275,125.1573044
1587,4.408333,2.007677742,10.39850465,22.77457914,125.2228894
1588,4.411111,2.122894184,10.02663563,23.03556251,125.2886939
1589,4.413889,2.238893012,9.65599125,23.29454093,125.3546951
1590,4.416667,2.261522427,9.607497016,23.27122313,125.4149703
1591,4.419444,2.284142561,9.559016187,23.24790365,125.4752378
1592,4.422222,2.306769702,9.510513864,23.22456576,125.5355409
1593,4.425,2.320648256,9.48556118,23.17588423,125.5932578
1594,4.427778,2.338191965,9.454387304,23.02267726,125.6873509
1595,4.430556,2.355736507,9.423217025,22.86955077,125.7816063
1596,4.433333,2.371374941,9.39715456,22.83905149,125.8305954
1597,4.436111,2.387018481,9.371084531,22.80850995,125.8796323
1598,4.438889,2.402661494,9.345016326,22.77793719,125.9286995
1599,4.441667,2.404489441,9.317136682,22.75866173,126.0086741
1600,4.444444,2.417095161,9.294480112,22.79524586,125.9666067
1601,4.447222,2.429705138,9.271806056,22.83186582,125.9244867
1602,4.45,2.437638304,9.243413968,22.68715731,126.0058525
1603,4.452778,2.445571207,9.215021667,22.54253494,126.0873742
1604,4.455556,2.453503846,9.186629158,22.39800145,126.1690483
1605,4.458333,2.454898438,9.162600779,22.38408157,126.1999428
1606,4.461111,2.456293578,9.13856305,22.37015134,126.2308526
1607,4.463889,2.457688763,9.114524629,22.35621578,126.2617665
1608,4.466667,2.444209451,9.106849467,22.3188538,126.2961004
1609,4.469444,2.433725142,9.09096254,22.37906632,126.2968451
1610,4.472222,2.423238201,9.075068061,22.43930148,126.2976543
