,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Arcere:BackLeft,Arcere:BackLeft,Arcere:BackLeft,Arcere:BackRight,Arcere:BackRight,Arcere:BackRight,Arcere:BackTop,Arcere:BackTop,Arcere:BackTop,Arcere:Chest,Arcere:Chest,Arcere:Chest,Arcere:LElbowOut,Arcere:LElbowOut,Arcere:LElbowOut,Arcere:LHandOut,Arcere:LHandOut,Arcere:LHandOut,Arcere:LShoulderBack,Arcere:LShoulderBack,Arcere:LShoulderBack,Arcere:LShoulderTop,Arcere:LShoulderTop,Arcere:LShoulderTop,Arcere:LUArmHigh,Arcere:LUArmHigh,Arcere:LUArmHigh,Arcere:LWristIn,Arcere:LWristIn,Arcere:LWristIn,Arcere:LWristOut,Arcere:LWristOut,Arcere:LWristOut,Arcere:RElbowOut,Arcere:RElbowOut,Arcere:RElbowOut,Arcere:RHandOut,Arcere:RHandOut,Arcere:RHandOut,Arcere:RShoulderBack,Arcere:RShoulderBack,Arcere:RShoulderBack,Arcere:RShoulderTop,Arcere:RShoulderTop,Arcere:RShoulderTop,Arcere:RUArmHigh,Arcere:RUArmHigh,Arcere:RUArmHigh,Arcere:RWristIn,Arcere:RWristIn,Arcere:RWristIn,Arcere:RWristOut,Arcere:RWristOut,Arcere:RWristOut,Arcere:WaistLBack,Arcere:WaistLBack,Arcere:WaistLBack,Arcere:WaistLFront,Arcere:WaistLFront,Arcere:WaistLFront,Arcere:WaistRBack,Arcere:WaistRBack,Arcere:WaistRBack,Arcere:WaistRFront,Arcere:WaistRFront,Arcere:WaistRFront
,ID,"2A9B20","2A9B20","2A9B20","2B22B0","2B22B0","2B22B0","2AC930","2AC930","2AC930","2B2320","2B2320","2B2320","2AD400","2AD400","2AD400","2A9EF0","2A9EF0","2A9EF0","2A9B30","2A9B30","2A9B30","2AA670","2AA670","2AA670","2A9E90","2A9E90","2A9E90","2B1170","2B1170","2B1170","2AF120","2AF120","2AF120","2B2720","2B2720","2B2720","2B2730","2B2730","2B2730","B48340F50C4F11EE5F75BB645DD426B7","B48340F50C4F11EE5F75BB645DD426B7","B48340F50C4F11EE5F75BB645DD426B7","B48340F60C4F11EE5F75BB645DD426B7","B48340F60C4F11EE5F75BB645DD426B7","B48340F60C4F11EE5F75BB645DD426B7","2B1750","2B1750","2B1750","2B5260","2B5260","2B5260","2B0D30","2B0D30","2B0D30","2B5F90","2B5F90","2B5F90","2B21D0","2B21D0","2B21D0","2B32B0","2B32B0","2B32B0","2B2630","2B2630","2B2630"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
8,0.022222,-125.792610,164.883499,-17.381746,-122.896370,163.962967,3.966321,-124.032501,180.807083,-6.330788,-98.411247,169.781555,-9.969529,-116.234085,175.751389,-54.627453,-113.692093,180.391464,-83.555473,-124.252640,175.844391,-25.920986,-119.689323,184.689545,-19.146017,-119.155396,174.727081,-42.446171,-107.410027,184.446960,-75.808044,-115.434586,178.812164,-75.108002,-118.716621,167.627151,22.768703,-109.849258,164.976318,61.084301,,,,,,,-121.732399,176.603943,9.021889,-115.464333,157.650864,56.773903,-116.301559,159.926651,37.572502,-120.437531,137.274216,-20.615980,-101.389847,136.277374,-25.396490,-117.606422,137.978165,2.956720,-97.467331,135.100159,0.803325
9,0.025000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.030556,-125.789436,164.881271,-17.383043,-122.891685,163.963272,3.969724,-124.029602,180.805618,-6.326708,-98.407158,169.788071,-9.966026,-116.230667,175.755737,-54.625301,-113.695839,180.401749,-83.554810,-124.250504,175.841599,-25.917847,-119.688606,184.687195,-19.144588,-119.137695,174.723160,-42.413570,-107.389900,184.467911,-75.805244,-115.432152,178.818268,-75.104118,-118.712807,167.627365,22.770308,-109.847031,164.968079,61.098434,,,,,,,-121.729492,176.601593,9.023916,-115.503624,157.630066,56.885250,-116.300034,159.926987,37.574783,-120.428719,137.273575,-20.614365,-101.376846,136.275131,-25.388336,-117.608139,137.980545,2.951676,-97.441422,135.055313,0.814794
12,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.036111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.038889,-125.782074,164.878967,-17.376764,-122.886505,163.962448,3.974062,-124.024376,180.804581,-6.322536,-98.408470,169.790283,-9.961863,-116.227745,175.763474,-54.619717,-113.689438,180.410538,-83.552643,-124.246559,175.839798,-25.915245,-119.672028,184.639328,-19.162937,-119.134521,174.724121,-42.407406,-107.399544,184.573715,-75.794693,-115.427338,178.826126,-75.101921,-118.706741,167.629105,22.771860,-109.826973,164.934830,61.123310,,,,,,,-121.725800,176.602249,9.026598,-115.502045,157.629639,56.887020,-116.296005,159.927673,37.577824,-120.419922,137.275070,-20.613838,-101.370834,136.279510,-25.393438,-117.611229,137.981903,2.943761,-97.438828,135.058243,0.818044
15,0.041667,-125.779488,164.878876,-17.376070,-122.884193,163.963242,3.975661,-124.023071,180.803589,-6.321700,-98.405777,169.789551,-9.966448,-116.227051,175.764832,-54.618954,-113.686287,180.412476,-83.551674,-124.244621,175.839645,-25.913010,-119.672371,184.638397,-19.163782,-119.135773,174.726913,-42.408268,-107.398476,184.577881,-75.793945,-115.428604,178.829468,-75.102081,-118.705643,167.627838,22.770054,-109.803650,164.932526,61.115021,,,,,,,-121.724663,176.603638,9.024364,-115.499855,157.628662,56.887901,-116.293808,159.928986,37.578106,-120.414673,137.273941,-20.612688,-101.369766,136.279205,-25.391579,-117.612244,137.984573,2.941132,-97.437355,135.058273,0.818618
16,0.044444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.047222,-125.772873,164.878052,-17.375454,-122.879204,163.961487,3.977518,-124.018921,180.803650,-6.319948,-98.402802,169.790131,-9.966919,-116.224693,175.769608,-54.616280,-113.677170,180.428284,-83.556137,-124.242142,175.841232,-25.909996,-119.668350,184.639160,-19.163795,-119.131912,174.729736,-42.404343,-107.396355,184.584778,-75.791985,-115.424225,178.833755,-75.096664,-118.703476,167.628601,22.773275,-109.799957,164.931107,61.117069,,,,,,,-121.722099,176.603882,9.027601,-115.499207,157.629868,56.889671,-116.292915,159.927338,37.578114,-120.408180,137.273544,-20.615751,-101.357742,136.278778,-25.384830,-117.611847,137.986099,2.940469,-97.436142,135.059769,0.820769
