,Time,LElbowOutX,LElbowOutY,LHandOutX,LHandOutY,LShoulderTopX,LShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY,RShoulderTopX,RShoulderTopY
0,0.0,-96.01788980055203,-75.61569059366373,-87.20022395451818,-104.13686191419656,-101.6987071448458,-40.524673771030855,-105.42027922560902,19.163642885995436,-102.16870870154808,48.31636900720029,-101.07050382959316,-18.955128773430935
1,0.002778,-96.01733593351734,-75.6145621978879,-87.19732065150606,-104.13384663806552,-101.69633238161526,-40.52403792367695,-105.41535174186967,19.163326295331814,-102.16510290051603,48.31638900240009,-101.07003060986439,-18.954499591143644
2,0.005556,-96.017059,-75.613998,-87.195869,-104.132339,-101.695145,-40.52372,-105.412888,19.163168,-102.1633,48.316399,-101.069794,-18.954185
3,0.008333,-96.01678206648266,-75.61343380211208,-87.19441734849394,-104.13083136193448,-101.69395761838473,-40.523402076323045,-105.41042425813032,19.163009704668188,-102.16149709948398,48.3164089975999,-101.06955739013561,-18.953870408856353
4,0.011111,-96.01650503324133,-75.61286940105605,-87.19296517424696,-104.12932318096723,-101.69276980919237,-40.52308403816152,-105.40795962906518,19.162851352334098,-102.15969354974199,48.31641899879995,-101.0693206950678,-18.953555704428176
5,0.013889,-96.016228,-75.612305,-87.191513,-104.127815,-101.691582,-40.522766,-105.405495,19.162693,-102.15789,48.316429,-101.069084,-18.953241
6,0.016667,-96.016159,-75.611664,-87.191719,-104.126511,-101.695122,-40.521286,-105.403648,19.162632,-102.155533,48.317451,-101.069031,-18.951555
7,0.019444,-96.015770070027,-75.61079415661567,-87.19011328910891,-104.12562615931594,-101.69475956525652,-40.52093506318632,-105.40224075337534,19.163927766696666,-102.1542667279928,48.31737501368136,-101.06890102340233,-18.948893979117912
8,0.022222,-96.015381,-75.609924,-87.188507,-104.124741,-101.694397,-40.520584,-105.400833,19.165224,-102.153,48.317299,-101.068771,-18.946232
9,0.025,-95.90123,-75.720406,-87.185989,-104.122803,-101.693085,-40.519405,-105.397667,19.165245,-102.150177,48.318939,-101.069603,-18.947674
10,0.027778,-95.9012565,-75.723759,-87.1847875,-104.1214755,-101.682194,-40.5193575,-105.39582449999999,19.1637135,-102.1480675,48.319355,-101.0688285,-18.948361499999997
11,0.030556,-95.901283,-75.727112,-87.183586,-104.120148,-101.671303,-40.51931,-105.393982,19.162182,-102.145958,48.319771,-101.068054,-18.949049
12,0.033333,-95.900993,-75.726959,-87.181435,-104.119217,-101.693558,-40.517605,-105.39386,19.164431,-102.14399,48.31955,-101.067078,-18.948416
13,0.036111,-95.90003200000001,-75.7248265,-87.1801185,-104.118435,-101.6830025,-40.518015,-105.39265850000001,19.1652225,-102.141022,48.319151000000005,-101.0663455,-18.9459565
14,0.038889,-95.899071,-75.722694,-87.178802,-104.117653,-101.672447,-40.518425,-105.391457,19.166014,-102.138054,48.318752,-101.065613,-18.943497
15,0.041667,-95.901367,-75.724159,-87.179008,-104.115974,-101.672104,-40.517818,-105.392754,19.165936,-102.136337,48.318596,-101.065514,-18.943096
16,0.044444,-95.90065762772277,-75.72393004122412,-87.1774137870387,-104.11477671557155,-101.59162848964898,-40.63707302808281,-105.39081234959497,19.165748033843386,-102.13491825544554,48.31839953537354,-101.06441169846984,-18.94263158361836
17,0.047222,-95.899948,-75.723701,-87.175819,-104.113579,-101.511124,-40.756371,-105.38887,19.16556,-102.133499,48.318203,-101.063309,-18.942167
18,0.05,-95.900093,-75.723587,-87.17588,-104.113174,-101.510727,-40.754581,-105.390457,19.166998,-102.13118,48.318874,-101.062263,-18.942375
19,0.052778,-95.8998755,-75.721798,-87.17376700000001,-104.112564,-101.511593,-40.753681,-105.3892745,19.1675045,-102.1303445,48.318708,-101.0623395,-18.941037
20,0.055556,-95.899658,-75.720009,-87.171654,-104.111954,-101.512459,-40.752781,-105.388092,19.168011,-102.129509,48.318542,-101.062416,-18.939699
21,0.058333,-95.895042,-75.717232,-87.17128,-104.110298,-101.515404,-40.751827,-105.388245,19.168388,-102.128174,48.318775,-101.061478,-18.938383
22,0.061111,-95.89417250000001,-75.7167055,-87.1635285,-104.099453,-101.515133,-40.751093000000004,-105.3872265,19.167603500000006,-102.128273,48.318756,-101.0606195,-18.936774000000003
23,0.063889,-95.893303,-75.716179,-87.155777,-104.088608,-101.514862,-40.750359,-105.386208,19.166819,-102.128372,48.318737,-101.059761,-18.935165
24,0.066667,-95.892914,-75.715836,-87.152481,-104.088089,-101.513634,-40.748108,-105.384895,19.166002,-102.126228,48.318123,-101.059219,-18.934076
25,0.069444,-95.89228861260126,-75.7150921339334,-87.15125672043204,-104.0860448680468,-101.59278224932493,-40.628961952295235,-105.38544040180018,19.16722278019802,-102.12513719639965,48.31840344950495,-101.05832666066607,-18.93336412817282
26,0.072222,-95.891663,-75.714348,-87.150032,-104.084,-101.671959,-40.509773,-105.385986,19.168444,-102.124046,48.318684,-101.057434,-18.932652
27,0.075,-95.888863,-75.71357,-87.151184,-104.085899,-101.672127,-40.507687,-105.382622,19.169222,-102.122116,48.318935,-101.057121,-18.933777
28,0.077778,-95.8874895,-75.7122995,-87.14962750000002,-104.083782,-101.6729125,-40.5069065,-105.38143550000001,19.1675275,-102.1202925,48.319244,-101.055706,-18.9320365
29,0.080556,-95.886116,-75.711029,-87.148071,-104.081665,-101.673698,-40.506126,-105.380249,19.165833,-102.118469,48.319553,-101.054291,-18.930296
30,0.083333,-95.88488,-75.709991,-87.14756,-104.080757,-101.671669,-40.504898,-105.378326,19.168451,-102.115036,48.320377,-101.054398,-18.929832
31,0.086111,-95.882374,-75.7080115,-87.146404,-104.079048,-101.67287449999998,-40.504099,-105.3777805,19.169047,-102.1117325,48.32102,-101.05349000000001,-18.929073000000002
32,0.088889,-95.879868,-75.706032,-87.145248,-104.077339,-101.67408,-40.5033,-105.377235,19.169643,-102.108429,48.321663,-101.052582,-18.928314
33,0.091667,-95.876587,-75.707283,-87.143646,-104.075836,-101.673996,-40.501881,-105.374886,19.16968,-102.105675,48.323246,-101.052773,-18.926975
34,0.094444,-95.87566016687668,-75.70558180630063,-87.14325307074708,-104.07389834887489,-101.67420596219621,-40.50142908136814,-105.37183854869487,19.168768164176416,-102.0853921519352,48.31616727452745,-101.05146073627363,-18.926486088028803
35,0.097222,-95.874733,-75.70388,-87.14286,-104.07196,-101.674416,-40.500977,-105.36879,19.167856,-102.065102,48.309086,-101.050148,-18.925997
36,0.1,-95.875511,-75.702812,-87.141724,-104.069923,-101.673485,-40.499733,-105.367661,19.169731,-102.062141,48.306286,-101.0494,-18.922527
