,Time,LElbowOutX,LElbowOutY,LHandOutX,LHandOutY,LShoulderTopX,LShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY,RShoulderTopX,RShoulderTopY
0,0.0,-98.962273,-76.895584,-92.989197,-106.317612,-102.079964,-41.593956,-105.5009,17.674551,-102.528954,46.613373,-100.658127,-20.37816
1,0.002778,-98.9626315,-76.8966635,-92.990097,-106.318489,-102.01150150000002,-41.6987895,-105.501579,17.673928500000002,-102.529694,46.6125735,-100.659088,-20.379666
2,0.005556,-98.96299,-76.897743,-92.990997,-106.319366,-101.943039,-41.803623,-105.502258,17.673306,-102.530434,46.611774,-100.660049,-20.381172
3,0.008333,-98.96302032605304,-76.89800760314414,-92.99083170634825,-106.32022546033842,-101.98943986067441,-41.7366110873635,-105.50243362450497,17.672121617664708,-102.53037034861394,46.611025513020515,-100.66062119596783,-20.38112134549382
4,0.011111,-98.96305066302652,-76.89827230157206,-92.99066635317413,-106.3210852301692,-102.03585743033722,-41.669575043681746,-105.5026093122525,17.67093680883235,-102.53030667430697,46.61027675651025,-100.66119359798392,-20.381070672746908
5,0.013889,-98.963081,-76.898537,-92.990501,-106.321945,-102.082275,-41.602539,-105.502785,17.669752,-102.530243,46.609528,-100.661766,-20.38102
6,0.016667,-98.9627479600384,-76.90024853870155,-92.99069435653426,-106.32325249021962,-102.03767864886595,-41.67174863782551,-105.5034234099364,17.669103588863553,-102.53109743585745,46.609742692427695,-100.66279112300492,-20.381356373694945
7,0.019444,-98.9624150399616,-76.90195946129846,-92.99088764346573,-106.32455950978039,-101.99309835113405,-41.74093336217449,-105.5040615900636,17.668455411136446,-102.53195156414256,46.6099573075723,-100.66381587699507,-20.381692626305053
8,0.022222,-98.962082,-76.903671,-92.991081,-106.325867,-101.948502,-41.810143,-105.5047,17.667807,-102.532806,46.610172,-100.664841,-20.382029
9,0.025,-98.96248899999999,-76.90448500000002,-92.99175233333332,-106.32680266666667,-101.94932833333334,-41.81117666666666,-105.50479133333333,17.667376333333333,-102.532941,46.60945,-100.665146,-20.383284666666665
10,0.027778,-98.962896,-76.905299,-92.99242366666667,-106.32773833333334,-101.95015466666666,-41.81221033333333,-105.50488266666667,17.666945666666667,-102.533076,46.608728,-100.665451,-20.384540333333334
11,0.030556,-98.963303,-76.906113,-92.993095,-106.328674,-101.950981,-41.813244,-105.504974,17.666515,-102.533211,46.608006,-100.665756,-20.385796
12,0.033333,-98.962616,-76.905891,-92.990471,-106.32988,-101.949501,-41.816849,-105.505417,17.665285,-102.534676,46.608257,-100.666718,-20.385269
13,0.036111,-98.9632795,-76.906818,-92.991192,-106.33012,-102.0185815,-41.7154525,-105.505871,17.6651975,-102.534943,46.6072385,-100.6662335,-20.3863335
14,0.038889,-98.963943,-76.907745,-92.991913,-106.33036,-102.087662,-41.614056,-105.506325,17.66511,-102.53521,46.60622,-100.665749,-20.387398
15,0.041667,-98.964539,-76.907387,-92.990547,-106.331787,-102.08831,-41.614197,-105.504295,17.664894,-102.5373,46.606983,-100.667152,-20.387362
16,0.044444,-98.96455399729973,-76.90884773699369,-92.99040602538254,-106.33279381872187,-102.0880660439244,-41.61565173807381,-105.50504636471648,17.664518567596758,-102.53747146912691,46.60587869882988,-100.6681858138614,-20.389430627542755
17,0.047222,-98.964569,-76.910309,-92.990265,-106.333801,-102.087822,-41.617107,-105.505798,17.664143,-102.537643,46.604774,-100.66922,-20.3915
18,0.05,-98.964104,-76.91172,-92.990044,-106.333908,-102.089836,-41.617237,-105.50563,17.663685,-102.539551,46.602612,-100.66906,-20.391481
19,0.052778,-98.964703,-76.912464,-92.9908145,-106.334835,-102.090599,-41.618496,-105.505928,17.6620285,-102.53883,46.60127100000001,-100.6698495,-20.392176499999994
