Time,barycenter_x,barycenter_y,bow_x,bow_y,bow_z,left_shoulder_positions_x,left_shoulder_positions_y,right_shoulder_positions_x,right_shoulder_positions_y,left_elbow_positions_x,left_elbow_positions_y,right_elbow_positions_x,right_elbow_positions_y,left_wrist_positions_x,left_wrist_positions_y,right_wrist_positions_x,right_wrist_positions_y
1687269965.1567726,-0.09675971418619156,-0.1638074368238449,1.0,0.9876883625984192,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.5,-2.5923061457433505e-06,85.5,-0.0
1687269965.3392947,-0.09675971418619156,-0.1638074368238449,1.0,0.9848077893257141,0.0,-22.5,0.0,22.5,0.0,-55.494972229003906,0.5759266018867493,55.5,-0.0,-84.91448211669922,0.523569643497467,85.5,-0.0
1687269965.340257,-0.11307509243488312,-0.16410525143146515,1.0,0.9848077893257141,0.0,-22.5,0.0,22.5,0.0,-55.494972229003906,0.5759266018867493,55.5,-0.0,-84.91448211669922,0.523569643497467,85.5,-0.0
1687269965.341258,-0.11307509243488312,-0.16410525143146515,1.0,0.9816271662712097,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.5,-2.5923061457433505e-06,85.5,-0.0
1687269965.341258,-0.12413523346185684,-0.146442711353302,1.0,0.9816271662712097,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.5,-2.5923061457433505e-06,85.5,-0.0
1687269965.3422496,-0.12413523346185684,-0.146442711353302,1.0,0.9816271662712097,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.5,-2.5923061457433505e-06,85.5,-0.0
1687269965.343263,-0.1247829794883728,-0.12139136344194412,1.0,0.9816271662712097,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.5,-2.5923061457433505e-06,85.5,-0.0
1687269965.3442445,-0.1247829794883728,-0.12139136344194412,1.0,0.9816271662712097,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.5,-2.5923061457433505e-06,85.5,-0.0
1687269965.3452427,-0.15920382738113403,-0.11335715651512146,1.0,0.9816271662712097,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.5,-2.5923061457433505e-06,85.5,-0.0
1687269965.34625,-0.15920382738113403,-0.11335715651512146,1.0,0.9743700623512268,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.34625,-0.16311292350292206,-0.11075560748577118,1.0,0.9743700623512268,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3482354,-0.16311292350292206,-0.11075560748577118,1.0,0.9781476259231567,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3482354,-0.1446731984615326,-0.09320884197950363,1.0,0.9781476259231567,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3498566,-0.1446731984615326,-0.09320884197950363,1.0,0.9816271662712097,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3508573,-0.15874147415161133,-0.11515635251998901,1.0,0.9816271662712097,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3521845,-0.15874147415161133,-0.11515635251998901,1.0,0.9848077893257141,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3521845,-0.13429957628250122,-0.15739496052265167,1.0,0.9848077893257141,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.353185,-0.13429957628250122,-0.15739496052265167,1.0,0.9876883625984192,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3541822,-0.1172739565372467,-0.19054682552814484,1.0,0.9876883625984192,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3552082,-0.1172739565372467,-0.19054682552814484,1.0,0.9902680516242981,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.356177,-0.09885513037443161,-0.23027852177619934,1.0,0.9902680516242981,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3571746,-0.09885513037443161,-0.23027852177619934,1.0,0.9902680516242981,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3571746,-0.0955645814538002,-0.25124046206474304,1.0,0.9902680516242981,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3581712,-0.0955645814538002,-0.25124046206474304,1.0,0.9902680516242981,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3581712,-0.09783945232629776,-0.27888476848602295,1.0,0.9902680516242981,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3591692,-0.09783945232629776,-0.27888476848602295,1.0,0.9902680516242981,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3591692,-0.11266225576400757,-0.2947872579097748,1.0,0.9902680516242981,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3601656,-0.11266225576400757,-0.2947872579097748,1.0,0.9876883625984192,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3601656,-0.08395440876483917,-0.28044456243515015,1.0,0.9876883625984192,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3615518,-0.08395440876483917,-0.28044456243515015,1.0,0.9876883625984192,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3615518,-0.08287336677312851,-0.2731727659702301,1.0,0.9876883625984192,0.0,-22.5,0.0,22.5,0.0,-55.5,-2.8515369194792584e-06,55.5,-0.0,-85.49542999267578,-0.523569643497467,85.5,-0.0
1687269965.3625526,-0.08287336677312851,-0.2731727659702301,1.0,0.9902680516242981,0.0,-22.5,0.0,22.5,0.0,-55.494972229003906,0.5759266018867493,55.5,-0.0,-84.9190444946289,2.5923061457433505e-06,85.5,-0.0
1687269965.3635507,-0.08637537062168121,-0.2679685056209564,1.0,0.9902680516242981,0.0,-22.5,0.0,22.5,0.0,-55.494972229003906,0.5759266018867493,55.5,-0.0,-84.9190444946289,2.5923061457433505e-06,85.5,-0.0
1687269965.3645477,-0.08637537062168121,-0.2679685056209564,1.0,0.9925461411476135,0.0,-22.5,0.0,22.5,0.0,-55.494972229003906,0.5759266018867493,55.5,-0.0,-84.91448211669922,0.523569643497467,85.49542999267578,0.5235670208930969
1687269965.3645477,-0.08115089684724808,-0.24667727947235107,1.0,0.9925461411476135,0.0,-22.5,0.0,22.5,0.0,-55.494972229003906,0.5759266018867493,55.5,-0.0,-84.91448211669922,0.523569643497467,85.49542999267578,0.5235670208930969
1687269965.365545,-0.08115089684724808,-0.24667727947235107,1.0,0.9945219159126282,0.0,-22.5,0.0,22.5,0.0,-55.494972229003906,0.5759266018867493,55.5,-0.0,-84.91448211669922,0.523569643497467,85.49542999267578,0.5235670208930969
1687269965.3665433,-0.09443118423223495,-0.22832801938056946,1.0,0.9945219159126282,0.0,-22.5,0.0,22.5,0.0,-55.494972229003906,0.5759266018867493,55.5,-0.0,-84.91448211669922,0.523569643497467,85.49542999267578,0.5235670208930969
1687269965.3675768,-0.09443118423223495,-0.22832801938056946,0.9998477101325989,0.9961947202682495,0.017452407628297806,-22.5,0.0,22.5,0.0,-55.494972229003906,0.5759266018867493,55.5,-0.0,-84.91448211669922,0.523569643497467,85.49542999267578,0.5235670208930969
1687269965.3675768,-0.127507284283638,-0.23178838193416595,0.9998477101325989,0.9961947202682495,0.017452407628297806,-22.5,0.0,22.5,0.0,-55.494972229003906,0.5759266018867493,55.5,-0.0,-84.91448211669922,0.523569643497467,85.49542999267578,0.5235670208930969
1687269965.368537,-0.127507284283638,-0.23178838193416595,0.9998477101325989,0.9945219159126282,0.017452407628297806,-22.5,0.0,22.5,0.0,-55.494972229003906,0.5759266018867493,55.5,-0.0,-84.91448211669922,0.523569643497467,85.49542999267578,0.5235670208930969
1687269965.3695343,-0.130177840590477,-0.19507402181625366,0.9998477101325989,0.9945219159126282,0.017452407628297806,-22.5,0.0,22.5,0.0,-55.494972229003906,0.5759266018867493,55.5,-0.0,-84.91448211669922,0.523569643497467,85.49542999267578,0.5235670208930969
