Time,barycenter_x,barycenter_y,bow_x,bow_y,bow_z,left_shoulder_positions_x,left_shoulder_positions_y,right_shoulder_positions_x,right_shoulder_positions_y,left_elbow_positions_x,left_elbow_positions_y,right_elbow_positions_x,right_elbow_positions_y,left_wrist_positions_x,left_wrist_positions_y,right_wrist_positions_x,right_wrist_positions_y
1686932001.4370186,-0.05896959453821182,0.03566644340753555,0.9781476259231567,-0.08715574443340302,-0.20791152119636536,-22.0,0.0,22.0,0.0,-57.0,-3.0243572837207466e-06,57.0,-0.0,-85.0,-2.4194857815018622e-06,85.0,-0.0
1686932001.579637,-0.05896959453821182,0.03566644340753555,0.9781476259231567,-0.08715574443340302,-0.20791152119636536,-22.0,0.0,22.0,0.0,-57.0,-3.0243572837207466e-06,57.0,-0.0,-85.0,-2.4194857815018622e-06,85.0,-0.0
1686932001.579637,-0.03816574811935425,0.046911854296922684,0.9781476259231567,-0.08715574443340302,-0.20791152119636536,-22.0,0.0,22.0,0.0,-57.0,-3.0243572837207466e-06,57.0,-0.0,-85.0,-2.4194857815018622e-06,85.0,-0.0
1686932001.5806348,-0.03816574811935425,0.046911854296922684,0.9781476259231567,-0.0697563886642456,-0.20791152119636536,-22.0,0.0,22.0,0.0,-57.0,-3.0243572837207466e-06,57.0,-0.0,-84.99573516845703,-0.48866498470306396,85.0,-0.0
1686932001.5816317,-0.04931722953915596,0.04058900848031044,0.9781476259231567,-0.0697563886642456,-0.20791152119636536,-22.0,0.0,22.0,0.0,-57.0,-3.0243572837207466e-06,57.0,-0.0,-84.99573516845703,-0.48866498470306396,85.0,-0.0
1686932001.5826316,-0.04931722953915596,0.04058900848031044,0.9781476259231567,-0.0697563886642456,-0.20791152119636536,-22.0,0.0,22.0,0.0,-57.0,-3.0243572837207466e-06,57.0,-0.0,-84.99573516845703,-0.48866498470306396,85.0,-0.0
1686932001.5836625,-0.05064022168517113,0.0419250912964344,0.9781476259231567,-0.0697563886642456,-0.20791152119636536,-22.0,0.0,22.0,0.0,-57.0,-3.0243572837207466e-06,57.0,-0.0,-84.99573516845703,-0.48866498470306396,85.0,-0.0
1686932001.5846593,-0.05064022168517113,0.0419250912964344,0.9781476259231567,-0.08715574443340302,-0.20791152119636536,-22.0,0.0,22.0,0.0,-57.0,-3.0243572837207466e-06,57.0,-0.0,-84.99573516845703,-0.48866498470306396,85.0,-0.0
1686932001.5846593,-0.043110284954309464,0.04022106155753136,0.9781476259231567,-0.08715574443340302,-0.20791152119636536,-22.0,0.0,22.0,0.0,-57.0,-3.0243572837207466e-06,57.0,-0.0,-84.99573516845703,-0.48866498470306396,85.0,-0.0
1686932001.585623,-0.043110284954309464,0.04022106155753136,0.9781476259231567,-0.08715574443340302,-0.20791152119636536,-22.0,0.0,22.0,0.0,-57.0,-3.0243572837207466e-06,57.0,-0.0,-84.99573516845703,-0.48866498470306396,85.0,-0.0
1686932001.585623,-0.06178663298487663,0.02941434644162655,0.9781476259231567,-0.08715574443340302,-0.20791152119636536,-22.0,0.0,22.0,0.0,-57.0,-3.0243572837207466e-06,57.0,-0.0,-84.99573516845703,-0.48866498470306396,85.0,-0.0
1686932001.5866206,-0.06178663298487663,0.02941434644162655,0.9781476259231567,-0.08715574443340302,-0.20791152119636536,-22.0,0.0,22.0,0.0,-57.0,-3.0243572837207466e-06,57.0,-0.0,-84.99573516845703,-0.48866498470306396,85.0,-0.0
1686932001.587629,-0.060213055461645126,0.03688677400350571,0.9781476259231567,-0.08715574443340302,-0.20791152119636536,-22.0,0.0,22.0,0.0,-57.0,-3.0243572837207466e-06,57.0,-0.0,-84.99573516845703,-0.48866498470306396,85.0,-0.0
