,timestamp,we,es,se,ew
3532,9.811111,0.894887993,15.17823394,53.49933654,124.0106594
3533,9.813889,0.910629188,15.17094538,53.40527142,124.108585
3534,9.816667,0.926370866,15.16365762,53.31142238,124.2063007
3535,9.819444,0.935152471,15.1710567,53.1874282,124.2681218
3536,9.822222,0.9459403,15.17717806,53.02307215,124.2595268
3537,9.825,0.956728318,15.1832988,52.85836883,124.251296
3538,9.827778,0.97030751,15.20947642,52.70620313,124.3002639
3539,9.830556,0.976854396,15.21287252,52.57077744,124.387784
3540,9.833333,0.983398588,15.21626428,52.4354579,124.47523
3541,9.836111,0.988174561,15.2250953,52.23071725,124.9352105
3542,9.838889,0.978096043,15.16874278,52.14849578,124.8693816
3543,9.841667,0.968022622,15.1122525,52.06594862,124.8032207
3544,9.844444,0.962804287,15.12089612,51.92905518,124.6602973
3545,9.847222,0.957929,15.10977612,51.83201744,124.7649539
3546,9.85,0.953055042,15.09865473,51.73523234,124.8693638
3547,9.852778,0.946901567,15.09732609,51.57195183,124.875535
3548,9.855556,0.940748606,15.09599595,51.40833951,124.8819209
3549,9.858333,0.934598373,15.09466479,51.24445627,124.8885196
3550,9.861111,0.922227592,15.08099478,51.13256392,125.0231395
3551,9.863889,0.909854843,15.06733012,51.02105695,125.1573281
3552,9.866667,0.897480124,15.05367078,50.90993454,125.2910864
3553,9.869444,0.893458728,15.04257134,50.76169818,125.2526339
3554,9.872222,0.889437099,15.03146662,50.61275031,125.2143004
3555,9.875,0.885416685,15.02036062,50.46314264,125.1761039
3556,9.877778,0.881754808,15.06382978,50.38639372,125.1277139
3557,9.880556,0.880720639,15.05552498,50.28320589,125.278984
3558,9.883333,0.879687658,15.04722189,50.18059754,125.4295104
3559,9.886111,0.887176737,14.95520115,49.99693772,125.3251363
3560,9.888889,0.808749063,14.92360343,49.86496197,125.3914991
3561,9.891667,0.730250328,14.89205953,49.73290271,125.4579179
3562,9.894444,0.731139621,14.89432342,49.61520489,125.6028127
3563,9.897222,0.732028433,14.89658733,49.49787748,125.7472855
3564,9.9,0.732916442,14.89885043,49.38096207,125.8912851
3565,9.902778,0.74525843,14.90417769,49.23667267,125.8581667
3566,9.905556,0.757600893,14.90950233,49.09177108,125.8252291
3567,9.908333,0.76993939,14.91482244,48.94630815,125.7924883
3568,9.911111,0.782597167,14.94383297,48.82115376,125.9840297
3569,9.913889,0.785477574,14.93438426,48.6993695,125.970092
3570,9.916667,0.788356146,14.92493222,48.57753981,125.9565387
3571,9.919444,0.787788614,14.94016376,48.44768765,125.9690626
3572,9.922222,0.78553328,14.99122627,48.33040421,125.9693838
3573,9.925,0.783277523,15.04199404,48.21317921,125.9699572
3574,9.927778,0.777656712,15.03183062,48.10468722,126.0248287
3575,9.930556,0.772038229,15.02166951,47.9961318,126.0797646
3576,9.933333,0.766424095,15.01151437,47.88755309,126.1347441
3577,9.936111,0.748429866,15.00092902,47.78740405,126.1485539
3578,9.938889,0.730443481,14.99035188,47.68712656,126.1625195
3579,9.941667,0.712464937,14.97978294,47.58672125,126.1766407
3580,9.944444,0.628940112,14.73863253,47.65779548,126.1999945
3581,9.947222,0.545178125,14.49813262,47.72783811,126.223473
3582,9.95,0.461208187,14.25836507,47.79682818,126.2470674
3583,9.952778,0.444929113,14.20750782,47.72700349,126.2853103
3584,9.955556,0.428648371,14.15660258,47.65725523,126.3235219
3585,9.958333,0.412371824,14.10566771,47.58760951,126.3616879
3586,9.961111,0.410664384,14.10822978,47.50732355,126.3461128
3587,9.963889,0.410185977,14.1066135,47.40106833,126.3593713
3588,9.966667,0.409709815,14.10499945,47.29474622,126.3727615
3589,9.969444,0.406524767,14.10727782,47.16176862,126.3953732
3590,9.972222,0.40824456,14.10592413,47.059147,126.4261458
3591,9.975,0.409963691,14.10457785,46.95644066,126.4569948
3592,9.977778,0.257781653,14.04880745,46.85511325,126.4826573
3593,9.980556,0.254624975,14.05370959,46.7397679,126.5430919
3594,9.983333,0.284646028,14.06446641,46.62809252,126.5627384
3595,9.986111,0.314678318,14.07522696,46.5162718,126.582552
3596,9.988889,0.344711036,14.08598735,46.40434682,126.6025252
3597,9.991667,0.350972532,14.08762827,46.30438611,126.6315919
3598,9.994444,0.355017185,14.08238538,46.20981157,126.6493083
3599,9.997222,0.359062216,14.07714403,46.11511327,126.667106
3600,10,0.363150519,14.0740897,46.01230483,126.6823828
3601,10.002778,0.367235761,14.07104255,45.90938546,126.6977695
3602,10.005556,0.371317941,14.06800256,45.80635589,126.713266
3603,10.008333,0.379568295,14.04456768,45.74630588,126.7217036
3604,10.011111,0.387821593,14.02113557,45.68618143,126.7301618
3605,10.013889,0.396074867,13.99771468,45.62600456,126.7386373
3606,10.016667,0.393695591,13.961256,45.57520066,126.7396498
3607,10.019444,0.398750431,13.93648547,45.71714427,126.772642
3608,10.022222,0.403807104,13.91171473,45.85886695,126.806421
3609,10.025,0.394585366,13.91309266,45.63220126,126.7773515
3610,10.027778,0.385362496,13.91446138,45.40463709,126.7498361
3611,10.030556,0.376138493,13.91582094,45.17617574,126.7238808
