,Time,es,se,we,ew
1143,1687430771,4.999994923,80.00000285,15.49473661,224.9999974
1144,1687430771,4.999994923,80.00000285,15.49473661,224.9999974
1145,1687430771,4.999994923,80.00000285,15.49473661,224.9999974
1146,1687430771,4.999994923,76.00000069,15.49473661,221.9999976
1147,1687430771,4.999994923,76.00000069,15.49473661,221.9999976
1148,1687430771,4.999994923,76.00000069,15.49473661,221.9999976
1149,1687430771,4.999994923,76.00000069,15.49473661,221.9999976
1150,1687430771,4.999994923,71.00000311,14.36625785,218.9999981
1151,1687430771,4.999994923,71.00000311,14.36625785,218.9999981
1152,1687430771,4.999994923,71.00000311,14.36625785,218.9999981
1153,1687430771,4.999994923,71.00000311,14.36625785,218.9999981
1154,1687430771,4.999994923,69.00000246,14.36625785,216.9999996
1155,1687430771,4.999994923,69.00000246,14.36625785,216.9999996
1156,1687430771,4.999994923,69.00000246,14.36625785,216.9999996
1157,1687430771,4.999994923,69.00000246,14.36625785,216.9999996
1158,1687430771,4.999994923,66.00000322,14.36625785,214.9999937
1159,1687430771,4.999994923,66.00000322,14.36625785,214.9999937
1160,1687430771,4.999994923,66.00000322,14.36625785,214.9999937
1161,1687430771,4.999994923,62.99999977,14.36625785,212.9999938
1162,1687430771,4.999994923,62.99999977,14.36625785,212.9999938
1163,1687430771,4.999994923,62.99999977,14.36625785,212.9999938
1164,1687430771,4.999994923,62.99999977,14.36625785,212.9999938
1165,1687430771,3.999994923,60.00000076,13.28546537,210.999992
1166,1687430771,3.999994923,60.00000076,13.28546537,210.999992
1167,1687430771,3.999994923,60.00000076,13.28546537,210.999992
1168,1687430771,3.999994923,60.00000076,13.28546537,210.999992
1169,1687430771,3.999994923,58.00000163,13.28546537,209.9999961
1170,1687430771,3.999994923,58.00000163,13.28546537,209.9999961
1171,1687430772,3.999994923,58.00000163,13.28546537,209.9999961
1172,1687430772,3.999994923,58.00000163,13.28546537,209.9999961
1173,1687430772,3.999994923,54.99999886,13.28546537,206.9999921
1174,1687430772,3.999994923,54.99999886,13.28546537,206.9999921
1175,1687430772,3.999994923,54.99999886,13.28546537,206.9999921
1176,1687430772,3.999994923,54.99999886,13.28546537,206.9999921
1177,1687430772,4.999994923,54.00000274,14.36625785,206.0000011
1178,1687430772,4.999994923,54.00000274,14.36625785,206.0000011
1179,1687430772,4.999994923,54.00000274,14.36625785,206.0000011
1180,1687430772,4.999994923,54.00000274,14.36625785,206.0000011
1181,1687430772,4.999994923,53.00000363,14.36625785,205.9999989
1182,1687430772,4.999994923,53.00000363,14.36625785,205.9999989
1183,1687430772,4.999994923,53.00000363,14.36625785,205.9999989
1184,1687430772,4.999994923,53.00000363,14.36625785,205.9999989
1185,1687430772,4.999994923,53.00000363,14.36625785,205.9999989
1186,1687430772,4.999994923,53.00000363,14.36625785,205.9999989
1187,1687430772,4.999994923,53.00000363,14.36625785,205.9999989
1188,1687430772,4.999994923,53.00000363,14.36625785,205.9999989
1189,1687430772,4.999994923,53.00000363,14.36625785,205.9999989
1190,1687430772,4.999994923,53.00000363,14.36625785,205.9999989
1191,1687430772,4.999994923,53.00000363,14.36625785,205.9999989
1192,1687430772,4.999994923,53.00000363,14.36625785,205.9999989
1193,1687430772,4.999994923,53.00000363,14.36625785,205.9999989
1194,1687430772,4.999994923,53.00000363,14.36625785,205.9999989
1195,1687430772,4.999994923,53.00000363,14.36625785,205.9999989
1196,1687430772,4.999994923,53.00000363,14.36625785,205.9999989
1197,1687430772,4.999994923,54.00000274,14.36625785,207
1198,1687430772,4.999994923,54.00000274,14.36625785,207
1199,1687430773,4.999994923,54.00000274,14.36625785,207
1200,1687430773,4.999994923,54.00000274,14.36625785,207
1201,1687430773,4.999994923,53.00000363,13.23978042,205.9999989
1202,1687430773,4.999994923,53.00000363,13.23978042,205.9999989
1203,1687430773,4.999994923,53.00000363,13.23978042,205.9999989
1204,1687430773,4.999994923,53.00000363,13.23978042,205.9999989
1205,1687430773,4.999994923,54.00000274,13.23978042,207
1206,1687430773,4.999994923,54.00000274,13.23978042,207
1207,1687430773,4.999994923,54.00000274,13.23978042,207
1208,1687430773,4.999994923,54.00000274,13.23978042,207
1209,1687430773,3.999994923,54.00000274,12.18695499,207
1210,1687430773,3.999994923,54.00000274,12.18695499,207
1211,1687430773,3.999994923,54.00000274,12.18695499,207
1212,1687430773,3.999994923,54.00000274,12.18695499,206.0000011
1213,1687430773,3.999994923,54.00000274,12.18695499,206.0000011
1214,1687430773,3.999994923,54.00000274,12.18695499,206.0000011
1215,1687430773,3.999994923,54.00000274,12.18695499,206.0000011
1216,1687430773,3.999994923,54.00000274,13.28546537,206.0000011
1217,1687430773,3.999994923,54.00000274,13.28546537,206.0000011
1218,1687430773,3.999994923,54.00000274,13.28546537,206.0000011
1219,1687430773,3.999994923,54.00000274,13.28546537,206.0000011
1220,1687430773,3.999994923,54.00000274,12.18695499,207
1221,1687430773,3.999994923,54.00000274,12.18695499,207
1222,1687430773,3.999994923,54.00000274,12.18695499,207
1223,1687430773,3.999994923,54.00000274,12.18695499,207
1224,1687430773,3.999994923,53.00000363,12.18695499,205.9999989
1225,1687430773,3.999994923,53.00000363,12.18695499,205.9999989
1226,1687430773,3.999994923,53.00000363,12.18695499,205.9999989
1227,1687430774,3.999994923,53.00000363,12.18695499,205.9999989
1228,1687430774,3.999994923,53.00000363,12.18695499,205.9999989
1229,1687430774,3.999994923,53.00000363,12.18695499,205.9999989
1230,1687430774,3.999994923,53.00000363,12.18695499,205.9999989
1231,1687430774,3.999994923,53.00000363,12.18695499,205.9999989
