,Time,LHandOutX,LHandOutY,LElbowOutX,LElbowOutY,LShoulderTopX,LShoulderTopY,RShoulderTopX,RShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY
0,0.0,-101.720413,-50.357281,-105.133392,-23.395693,-117.865692,11.328035,-113.983002,34.683922,-112.988594,69.636024,-107.212044,95.7314
1,0.002778,-101.7208215,-50.355738,-105.133194,-23.394105000000003,-117.86608100000002,11.326193499999999,-113.9845165,34.6843205,-112.9908025,69.63779450000001,-107.21110150000001,95.7328
2,0.005556,-101.72123,-50.354195,-105.132996,-23.392517,-117.86647,11.324352,-113.986031,34.684719,-112.993011,69.639565,-107.210159,95.7342
3,0.008333,-101.721642,-50.351871,-105.133102,-23.390814,-117.868279,11.325312,-113.986992,34.685844,-112.993767,69.640381,-107.207581,95.735962
4,0.011111,-101.7201465,-50.35067150000001,-105.130348,-23.39013,-117.8693505,11.326322,-113.9876405,34.6863705,-112.9964105,69.642334,-107.207581,95.736584
5,0.013889,-101.718651,-50.349472,-105.127594,-23.389446,-117.870422,11.327332,-113.988289,34.686897,-112.999054,69.644287,-107.207581,95.737206
6,0.016667,-101.717041,-50.347984,-105.132759,-23.388306,-117.87014,11.323488,-113.992294,34.688843,-113.00058,69.645355,-107.207176,95.742294
7,0.019444,-101.71622114761477,-50.34651176507651,-105.129482589919,-23.385507503870382,-117.87321044716472,11.324685784338431,-113.99244647254726,34.690187257965796,-113.00320402754275,69.64749461476147,-107.20699703222323,95.74307985850585
8,0.022222,-101.715401,-50.345039,-105.126205,-23.382708,-117.876282,11.325884,-113.992599,34.691532,-113.005829,69.649635,-107.206818,95.743866
9,0.025,-101.71472966666667,-50.346580333333335,-105.12573466666666,-23.381379666666668,-117.87835466666667,11.3262,-113.99368266666667,34.692099,-113.006915,69.65085833333333,-107.20648466666667,95.74499266666666
10,0.027778,-101.71405833333333,-50.348121666666664,-105.12526433333333,-23.380051333333338,-117.88042733333333,11.326516,-113.99476633333333,34.692666,-113.008001,69.65208166666667,-107.20615133333332,95.74611933333334
11,0.030556,-101.713387,-50.349663,-105.124794,-23.378723,-117.8825,11.326832,-113.99585,34.693233,-113.009087,69.653305,-107.205818,95.747246
12,0.033333,-101.539207,-50.572861,-105.123604,-23.377684,-117.885208,11.332292,-113.998138,34.695618,-113.01001,69.653519,-107.205902,95.750168
13,0.036111,-101.623489,-50.4619125,-105.12750249999998,-23.3770315,-117.8882065,11.333469,-114.000576,34.6976585,-113.0106355,69.6541865,-107.2039375,95.749283
14,0.038889,-101.707771,-50.350964,-105.131401,-23.376379,-117.891205,11.334646,-114.003014,34.699699,-113.011261,69.654854,-107.201973,95.748398
15,0.041667,-101.70794402076083,-50.351543736229445,-105.12963578819152,-23.375256865354615,-117.89451639733589,11.33602316524661,-114.0057176577463,34.700485094323774,-113.0118307350294,69.65519237393495,-107.16306599819993,95.84181320892836
16,0.044444,-101.70811697923916,-50.35212326377055,-105.12787121180847,-23.374135134645385,-117.89782660266411,11.33739983475339,-114.00842034225369,34.70127090567623,-113.0124002649706,69.65553062606504,-107.12417300180007,95.93519479107164
17,0.047222,-101.70829,-50.352703,-105.126106,-23.373013,-117.901138,11.338777,-114.011124,34.702057,-113.01297,69.655869,-107.085266,96.02861
18,0.05,-101.709114,-50.353085,-105.13015,-23.36965,-117.900703,11.338091,-114.012955,34.702114,-113.011612,69.654701,-107.083954,96.028664
19,0.052778,-101.709633,-50.3531325,-105.129486,-23.3692285,-117.90421649999999,11.340112,-114.0168535,34.702381,-113.0102805,69.65411350000001,-107.0818595,96.0302355
