Time,barycenter_x,barycenter_y,bow_x,bow_y,bow_z,left_shoulder_positions_x,left_shoulder_positions_y,right_shoulder_positions_x,right_shoulder_positions_y,left_elbow_positions_x,left_elbow_positions_y,right_elbow_positions_x,right_elbow_positions_y,left_wrist_positions_x,left_wrist_positions_y,right_wrist_positions_x,right_wrist_positions_y
1687430210.1153078,0.09864702075719833,-0.025305312126874924,1.0,0.9975640773773193,0.0,-21.0,0.0,21.0,0.0,-48.0,-2.333075599381118e-06,48.0,-0.0,-72.0,-2.0738450530188857e-06,72.0,-0.0
1687430210.292472,0.09864702075719833,-0.025305312126874924,1.0,0.9975640773773193,0.0,-21.0,0.0,21.0,0.0,-48.0,-2.333075599381118e-06,48.0,-0.0,-72.0,-2.0738450530188857e-06,72.0,-0.0
1687430210.2934682,0.09601007401943207,-0.022100213915109634,1.0,0.9975640773773193,0.0,-21.0,0.0,21.0,0.0,-48.0,-2.333075599381118e-06,48.0,-0.0,-72.0,-2.0738450530188857e-06,72.0,-0.0
1687430210.2944653,0.09601007401943207,-0.022100213915109634,1.0,0.9975640773773193,0.0,-21.0,0.0,21.0,0.0,-48.0,-2.333075599381118e-06,47.995887756347656,0.4712103307247162,-72.0,-2.0738450530188857e-06,71.99223327636719,0.8900639414787292
1687430210.2954626,0.09704724699258804,-0.02590860426425934,1.0,0.9975640773773193,0.0,-21.0,0.0,21.0,0.0,-48.0,-2.333075599381118e-06,47.995887756347656,0.4712103307247162,-72.0,-2.0738450530188857e-06,71.99223327636719,0.8900639414787292
1687430210.29646,0.09704724699258804,-0.02590860426425934,1.0,0.9975640773773193,0.0,-21.0,0.0,21.0,0.0,-48.0,-2.333075599381118e-06,47.995887756347656,0.4712103307247162,-72.0,-2.0738450530188857e-06,71.99223327636719,0.8900639414787292
1687430210.297457,0.09871687740087509,-0.02957618422806263,1.0,0.9975640773773193,0.0,-21.0,0.0,21.0,0.0,-48.0,-2.333075599381118e-06,47.995887756347656,0.4712103307247162,-72.0,-2.0738450530188857e-06,71.99223327636719,0.8900639414787292
1687430210.2994552,0.09871687740087509,-0.02957618422806263,1.0,0.9975640773773193,0.0,-21.0,0.0,21.0,0.0,-48.0,-2.333075599381118e-06,47.995887756347656,0.4712103307247162,-72.0,-2.0738450530188857e-06,71.99223327636719,0.8900639414787292
1687430210.2994552,0.0998305231332779,-0.022824198007583618,1.0,0.9975640773773193,0.0,-21.0,0.0,21.0,0.0,-48.0,-2.333075599381118e-06,47.995887756347656,0.4712103307247162,-72.0,-2.0738450530188857e-06,71.99223327636719,0.8900639414787292
1687430210.3004503,0.0998305231332779,-0.022824198007583618,1.0,0.9975640773773193,0.0,-21.0,0.0,21.0,0.0,-48.0,-2.333075599381118e-06,47.995887756347656,0.4712103307247162,-72.0,-2.0738450530188857e-06,71.99223327636719,0.8900639414787292
1687430210.3014472,0.10111364722251892,-0.024213634431362152,1.0,0.9975640773773193,0.0,-21.0,0.0,21.0,0.0,-48.0,-2.333075599381118e-06,47.995887756347656,0.4712103307247162,-72.0,-2.0738450530188857e-06,71.99223327636719,0.8900639414787292
1687430210.3024437,0.10111364722251892,-0.024213634431362152,0.9998477101325989,0.9975640773773193,-0.017452234402298927,-21.0,0.0,21.0,0.0,-48.0,-2.333075599381118e-06,47.995887756347656,0.4712103307247162,-72.0,-2.0738450530188857e-06,71.99223327636719,0.8900639414787292
1687430210.303441,0.10874304175376892,-0.019575513899326324,0.9998477101325989,0.9975640773773193,-0.017452234402298927,-21.0,0.0,21.0,0.0,-48.0,-2.333075599381118e-06,47.995887756347656,0.4712103307247162,-72.0,-2.0738450530188857e-06,71.99223327636719,0.8900639414787292
1687430210.3044388,0.10874304175376892,-0.019575513899326324,0.9998477101325989,0.9975640773773193,-0.017452234402298927,-21.0,0.0,21.0,0.0,-48.0,-2.333075599381118e-06,47.995887756347656,0.4712103307247162,-72.0,-2.0738450530188857e-06,71.99223327636719,0.8900639414787292
1687430210.3054354,0.10459284484386444,-0.039432018995285034,0.9998477101325989,0.9975640773773193,-0.017452234402298927,-21.0,0.0,21.0,0.0,-48.0,-2.333075599381118e-06,47.995887756347656,0.4712103307247162,-72.0,-2.0738450530188857e-06,71.99223327636719,0.8900639414787292
1687430210.3054354,0.10459284484386444,-0.039432018995285034,1.0,0.9986295104026794,0.0,-21.0,0.0,21.0,0.0,-48.0,-2.333075599381118e-06,48.0,-0.0,-72.0,-2.0738450530188857e-06,71.99634552001953,-0.41885775327682495
1687430210.306433,0.0945114940404892,-0.020120978355407715,1.0,0.9986295104026794,0.0,-21.0,0.0,21.0,0.0,-48.0,-2.333075599381118e-06,48.0,-0.0,-72.0,-2.0738450530188857e-06,71.99634552001953,-0.41885775327682495
