Time,LElbowOutX,LElbowOutY,LHandOutX,LHandOutY,LShoulderTopX,LShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY,RShoulderTopX,RShoulderTopY
0.000000,-99.351929,-74.257187,-92.717049,-103.930725,-103.083160,-39.008736,-106.692352,20.258438,-102.504349,49.631042,-102.123222,-17.799355
0.002778,,,,,,,,,,,,
0.005556,-99.346603,-74.257088,-92.712425,-103.930191,-102.996277,-39.054115,-106.689323,20.258259,-102.501503,49.630070,-102.120270,-17.798899
0.008333,,,,,,,,,,,,
0.011111,,,,,,,,,,,,
0.013889,-99.255028,-74.277710,-92.705910,-103.930664,-102.992783,-39.054565,-106.685997,20.257627,-102.315292,49.192554,-102.114365,-17.802338
0.016667,-99.337723,-74.256042,-92.702103,-103.930679,-103.074333,-39.010895,-106.685959,20.257223,-102.312378,49.190289,-102.113579,-17.802412
0.019444,,,,,,,,,,,,
0.022222,-99.333168,-74.255493,-92.694984,-103.932106,-103.072083,-39.012146,-106.683838,20.257463,-102.307915,49.192417,-102.110245,-17.802149
0.025000,-99.245262,-74.277283,-92.691566,-103.931381,-103.070595,-39.013256,-106.680023,20.256191,-102.309158,49.199574,-102.108803,-17.802225
0.027778,,,,,,,,,,,,
0.030556,-99.241402,-74.277092,-92.685852,-103.932343,-103.069855,-39.014339,-106.678650,20.257320,-102.484581,49.629696,-102.104355,-17.806070
0.033333,,,,,,,,,,,,
0.036111,,,,,,,,,,,,
0.038889,-99.235870,-74.278023,-92.673912,-103.935287,-103.063774,-39.016544,-106.665276,20.251144,-102.475868,49.630619,-102.099190,-17.802664
0.041667,-99.232445,-74.277069,-92.671097,-103.935303,-103.062523,-39.017273,-106.664566,20.250420,-102.471268,49.631668,-102.096413,-17.803223
0.044444,,,,,,,,,,,,
0.047222,-99.226852,-74.278305,-92.665451,-103.935791,-103.063873,-39.017605,-106.661346,20.262722,-102.466629,49.630131,-102.092873,-17.806414
0.050000,,,,,,,,,,,,
0.052778,-99.221375,-74.280403,-92.658493,-103.937424,-103.059242,-39.019573,-106.655975,20.260977,-102.459129,49.628632,-102.088501,-17.805689
0.055556,-99.218201,-74.281860,-92.654907,-103.938766,-102.977226,-39.062614,-106.653305,20.260103,-102.457596,49.627705,-102.087143,-17.804222
0.058333,,,,,,,,,,,,
0.061111,-99.210609,-74.283554,-92.647049,-103.938950,-103.057243,-39.022530,-106.645477,20.257866,-102.446365,49.628067,-102.084671,-17.809172
0.063889,-99.212181,-74.283531,-92.645523,-103.941071,-102.974335,-39.065365,-106.643661,20.257919,-102.443802,49.627018,-102.082268,-17.808502
0.066667,,,,,,,,,,,,
0.069444,-99.209930,-74.284271,-92.640030,-103.942017,-102.970680,-39.068779,-106.636940,20.255924,-102.438828,49.626499,-102.080116,-17.810432
0.072222,-99.292015,-74.263832,-92.636177,-103.944206,-102.969299,-39.068089,-106.633499,20.254696,-102.436653,49.624588,-102.077995,-17.810732
0.075000,,,,,,,,,,,,
0.077778,-99.285591,-74.266647,-92.628998,-103.946152,-102.966782,-39.070286,-106.628868,20.254860,-102.430634,49.625362,-102.075089,-17.811607
