Time,LElbowOutX,LElbowOutY,LHandOutX,LHandOutY,LShoulderTopX,LShoulderTopY,RElbowOutX,RElbowOutY,RHandOutX,RHandOutY,RShoulderTopX,RShoulderTopY
0.000000,-100.039383,-79.029152,-94.305359,-108.854507,-101.696060,-42.881439,-106.872002,15.419224,,,-100.599846,-22.751438
0.002778,,,,,,,,,,,,
0.005556,-100.042389,-79.006386,-94.303177,-108.856049,-101.696396,-42.881596,-106.869865,15.415966,-103.376793,44.834309,-100.599815,-22.750044
0.008333,,,,,,,,,,,,
0.011111,,,,,,,,,,,,
0.013889,-100.038338,-79.005859,-94.305626,-108.814346,-101.697281,-42.882965,-106.866959,15.416397,-103.375313,44.835983,-100.601875,-22.745504
0.016667,-100.038101,-79.006912,-94.307159,-108.813110,-101.698067,-42.882561,-106.865456,15.418839,-103.377220,44.837879,-100.600220,-22.747129
0.019444,,,,,,,,,,,,
0.022222,-100.034904,-79.006790,-94.295631,-108.853844,-101.694679,-42.883228,-106.867828,15.418180,,,-100.601151,-22.745272
0.025000,-100.026512,-79.030540,-94.300987,-108.813301,-101.697693,-42.883789,-106.867050,15.418102,-103.376938,44.839382,-100.602127,-22.747511
0.027778,,,,,,,,,,,,
0.030556,-100.028488,-79.031250,-94.298264,-108.813843,-101.696205,-42.885162,-106.866455,15.420072,-103.376007,44.840286,-100.602936,-22.745144
0.033333,-100.027039,-79.032013,-94.296379,-108.813873,-101.694656,-42.885292,-106.867851,15.416956,,,-100.604485,-22.743622
0.036111,,,,,,,,,,,,
0.038889,-100.029373,-79.033707,-94.294830,-108.815208,-101.697372,-42.886986,-106.865944,15.419951,,,-100.596024,-22.766769
0.041667,,,,,,,,,,,,
0.044444,,,,,,,,,,,,
0.047222,-100.029846,-79.037735,-94.291565,-108.816490,-101.695129,-42.888103,-106.862198,15.419638,,,-100.596176,-22.766777
0.050000,-100.029663,-79.038048,-94.288277,-108.816704,-101.693169,-42.889057,-106.861183,15.420860,,,-100.597855,-22.765789
0.052778,-100.032639,-79.038857,-94.287888,-108.817696,-101.695160,-42.889893,-106.863365,15.418718,,,-100.598755,-22.766220
0.055556,-100.034546,-79.039192,-94.284996,-108.818344,-101.694679,-42.890072,-106.859756,15.419671,,,-100.599220,-22.765133
0.058333,,,,,,,,,,,,
0.061111,-100.032135,-79.042770,-94.281837,-108.818008,-101.693939,-42.891548,-106.857979,15.420939,,,-100.610863,-22.745832
0.063889,,,,,,,,,,,,
0.066667,,,,,,,,,,,,
0.069444,-100.036598,-79.044388,-94.270157,-108.875832,-101.693199,-42.892490,-106.851425,15.421679,,,-100.613495,-22.741011
0.072222,-100.037361,-79.045555,-94.276863,-108.818710,-101.694344,-42.891930,-106.854034,15.420214,,,-100.609886,-22.745880
0.075000,,,,,,,,,,,,
0.077778,-100.037239,-79.046989,-94.272285,-108.820763,-101.696251,-42.892517,-106.849792,15.419793,,,-100.612473,-22.744745
0.080556,,,,,,,,,,,,
0.083333,,,,,,,,,,,,
0.086111,-100.039482,-79.047325,-94.268494,-108.820808,-101.694298,-42.893196,-106.848991,15.416579,,,-100.611031,-22.745668
0.088889,,,,,,,,,,,,
0.091667,,,,,,,,,,,,
0.094444,-100.035599,-79.051880,-94.263252,-108.822891,-101.686386,-42.906700,-106.850693,15.417761,,,-100.611771,-22.744596
0.097222,-100.037239,-79.052261,-94.253212,-108.873009,-101.689133,-42.906464,-106.847748,15.418458,,,-100.611435,-22.745594
0.100000,,,,,,,,,,,,
0.102778,-100.038101,-79.053619,-94.248039,-108.874130,-101.687096,-42.907394,-106.851685,15.419711,,,-100.611511,-22.747040
0.105556,-100.038292,-79.054115,-94.246613,-108.873627,-101.686928,-42.908276,-106.849709,15.417686,,,-100.601471,-22.769054
0.108333,,,,,,,,,,,,
0.111111,-100.037239,-79.056671,-94.245514,-108.875763,-101.687073,-42.908287,-106.852211,15.421396,,,-100.598358,-22.769054
0.113889,,,,,,,,,,,,
0.116667,,,,,,,,,,,,
0.119444,-100.037430,-79.058769,-94.242897,-108.877136,-101.691734,-42.907417,-106.854996,15.421038,,,-100.601662,-22.768986
0.122222,,,,,,,,,,,,
0.125000,,,,,,,,,,,,
0.127778,-100.038788,-79.057693,-94.241402,-108.877930,-101.690506,-42.908539,-106.856873,15.421905,,,-100.601974,-22.769760
0.130556,,,,,,,,,,,,
0.133333,,,,,,,,,,,,
0.136111,-100.043465,-79.056046,-94.239456,-108.879135,-101.693359,-42.907619,-106.856964,15.420550,,,-100.605942,-22.772867
0.138889,,,,,,,,,,,,
0.141667,,,,,,,,,,,,
0.144444,-100.038788,-79.056236,-94.238724,-108.881317,-101.696732,-42.907978,-106.858185,15.421679,,,-100.618721,-22.750694
0.147222,-100.039001,-79.054932,-94.237877,-108.877968,-101.705231,-42.894672,-106.855476,15.421947,,,-100.617943,-22.749878
0.150000,,,,,,,,,,,,
0.152778,-100.037933,-79.055641,-94.238152,-108.881187,-101.704178,-42.895283,-106.854721,15.422260,,,-100.621269,-22.751410
0.155556,,,,,,,,,,,,
0.158333,,,,,,,,,,,,
0.161111,-100.031326,-79.054573,-94.238472,-108.881676,-101.698067,-42.909084,-106.849464,15.422444,,,-100.619637,-22.755510
0.163889,,,,,,,,,,,,
0.166667,,,,,,,,,,,,
0.169444,-100.029778,-79.056999,-94.238716,-108.882309,-101.699402,-42.909779,-106.847504,15.422514,,,-100.612976,-22.775824
0.172222,,,,,,,,,,,,
0.175000,,,,,,,,,,,,
0.177778,-100.023247,-79.059174,-94.239868,-108.881523,-101.701187,-42.910721,-106.845619,15.421234,,,-100.615501,-22.780359
0.180556,,,,,,,,,,,,
0.183333,,,,,,,,,,,,
0.186111,-100.022675,-79.060867,-94.241539,-108.881355,-101.701233,-42.911602,-106.847939,15.419841,,,-100.620445,-22.781519
0.188889,,,,,,,,,,,,
0.191667,,,,,,,,,,,,
0.194444,-100.024200,-79.062363,-94.254211,-108.827019,-101.705002,-42.912460,-106.848183,15.421449,,,-100.625015,-22.782560
0.197222,-100.023743,-79.063675,-94.254303,-108.826889,-101.703979,-42.913998,-106.847908,15.421264,,,-100.622246,-22.785744
0.200000,,,,,,,,,,,,
0.202778,-100.023941,-79.064651,-94.243599,-108.883835,-101.707169,-42.914188,-106.850342,15.422617,,,-100.626289,-22.782921
0.205556,,,,,,,,,,,,
0.208333,-100.026176,-79.065277,-94.244705,-108.884453,-101.707550,-42.914951,-106.851181,15.421748,,,-100.626266,-22.783302
0.211111,-100.028969,-79.066254,-94.245384,-108.885490,-101.705551,-42.915905,-106.849716,15.423637,,,-100.627815,-22.785170
0.213889,,,,,,,,,,,,
0.216667,-100.029251,-79.066589,-94.245186,-108.885101,-101.705872,-42.916500,-106.854439,15.420513,,,-100.627014,-22.784594
